ID,Type,SKU,Name,Published,Visibility in catalogue,Short description,Description,In stock?,Regular price,Categories,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global
572,variable,CL-BCB,Bacon Butter,1,visible,"A rich brown sugar pound cake studded with crisp country bacon, frosted with smooth Swiss buttercream and finished with a hint of cheddar cheese for a sweet-savory balance.",,1,,Basic Cakes,Bacon-Butter-Whole.webp,,0,Size,"6 INCH, 8 INCH, 10 INCH",1,0
,variation,,Bacon Butter - 6 INCH,1,visible,,,1,1200.00,,,id:572,1,Size,6 INCH,,0
,variation,,Bacon Butter - 8 INCH,1,visible,,,1,1600.00,,,id:572,2,Size,8 INCH,,0
,variation,,Bacon Butter - 10 INCH,1,visible,,,1,2000.00,,,id:572,3,Size,10 INCH,,0
1765,simple,CC-BBC,Bibingka Cheesecake,1,visible,"Fluffy and cream cheesecake, with a graham crust, topped with salted duck egg / pulang itlog.",6 Inches,1,1500.00,Basic Cakes,"Bibingka-Cheesecake-whole.webp, Bibingka-Cheesecake-Sliced.webp",,0,,,,
506,variable,,Carrot Cake,1,visible,"Moist carrot cake with cream cheese frosting and walnuts, topped with sugar carrot decorations.",,1,,Basic Cakes,Carrot-Cake-Whole.webp,,0,Size,"12 INCH, 14 INCH, 6 INCH, 8 INCH, 10 INCH",1,0
,variation,,Carrot Cake - 12 INCH,1,visible,,,1,3700.00,,,id:506,1,Size,12 INCH,,0
,variation,,Carrot Cake - 14 INCH,1,visible,,,1,4500.00,,,id:506,2,Size,14 INCH,,0
,variation,,Carrot Cake - 6 INCH,1,visible,,,1,1500.00,,,id:506,3,Size,6 INCH,,0
,variation,,Carrot Cake - 8 INCH,1,visible,,,1,2000.00,,,id:506,4,Size,8 INCH,,0
,variation,,Carrot Cake - 10 INCH,1,visible,,,1,3000.00,,,id:506,5,Size,10 INCH,,0
1809,variable,,Cheesecake,1,visible,"Rich , creamy cake made with a smooth blend of cream cheese, sugar, and eggs on a buttery crust Fruit Jam add on",,1,,Basic Cakes,,,0,Size,"6 INCH, 8 INCH, 10 INCH, 12 INCH",1,0
,variation,,Cheesecake - 6 INCH,1,visible,,,1,1500.00,,,id:1809,1,Size,6 INCH,,0
,variation,,Cheesecake - 8 INCH,1,visible,,,1,2000.00,,,id:1809,2,Size,8 INCH,,0
,variation,,Cheesecake - 10 INCH,1,visible,,,1,3000.00,,,id:1809,3,Size,10 INCH,,0
,variation,,Cheesecake - 12 INCH,1,visible,,,1,3500.00,,,id:1809,4,Size,12 INCH,,0
579,variable,CH-BC,Chocolate Bacon,1,visible,"A rich brown sugar pound cake studded with crisp country bacon, frosted with soft, silky chocolate frosting for a bold yet well-balanced sweet-savory finish.",,1,,Basic Cakes,Chocolate-Bacon-Whole.webp,,0,Size,"6 INCH, 8 INCH, 10 INCH",1,0
,variation,,Chocolate Bacon - 6 INCH,1,visible,,,1,1200.00,,,id:579,1,Size,6 INCH,,0
,variation,,Chocolate Bacon - 8 INCH,1,visible,,,1,1600.00,,,id:579,2,Size,8 INCH,,0
,variation,,Chocolate Bacon - 10 INCH,1,visible,,,1,2000.00,,,id:579,3,Size,10 INCH,,0
567,variable,CL-CHC,Chocolate Cake,1,visible,"Our take on the classic chocolate cake a rich, decadent cake layered with smooth chocolate frosting for a timeless, satisfying indulgence .",,1,,Basic Cakes,Chocolate-Cake-Whole.webp,,0,Size,"12 INCH, 6 INCH, 8 INCH, 10 INCH",1,0
,variation,,Chocolate Cake - 12 INCH,1,visible,,,1,3500.00,,,id:567,1,Size,12 INCH,,0
,variation,,Chocolate Cake - 6 INCH,1,visible,,,1,1300.00,,,id:567,2,Size,6 INCH,,0
,variation,,Chocolate Cake - 8 INCH,1,visible,,,1,1700.00,,,id:567,3,Size,8 INCH,,0
,variation,,Chocolate Cake - 10 INCH,1,visible,,,1,2700.00,,,id:567,4,Size,10 INCH,,0
500,variable,CL-CCCC,Chocolate Chip Cake,1,visible,"Carefully baked chocolate chip cake with a soft crumb, layered with smooth cookie dough buttercream and topped with chocolate chip cookies, made to be enjoyed bite after bite.",,1,,Basic Cakes,Chocolate-Chip-Cake-Whole.webp,,0,Size,"12 INCH, 6 INCH, 8 INCH, 10 INCH",1,0
,variation,,Chocolate Chip Cake - 12 INCH,1,visible,,,1,5000.00,,,id:500,1,Size,12 INCH,,0
,variation,,Chocolate Chip Cake - 6 INCH,1,visible,,,1,1700.00,,,id:500,2,Size,6 INCH,,0
,variation,,Chocolate Chip Cake - 8 INCH,1,visible,,,1,2500.00,,,id:500,3,Size,8 INCH,,0
,variation,,Chocolate Chip Cake - 10 INCH,1,visible,,,1,4000.00,,,id:500,4,Size,10 INCH,,0
561,variable,CL-DRC,Dark Roast Coffee,1,visible,"Moist coffee cake made from coffee extra house-made from SAGADA beans, covered in a smooth Mexican frosting.",,1,,Basic Cakes,,,0,Size,"12 INCH, 14 INCH, 6 INCH, 8 INCH, 10 INCH",1,0
,variation,,Dark Roast Coffee - 12 INCH,1,visible,,,1,3700.00,,,id:561,1,Size,12 INCH,,0
,variation,,Dark Roast Coffee - 14 INCH,1,visible,,,1,4500.00,,,id:561,2,Size,14 INCH,,0
,variation,,Dark Roast Coffee - 6 INCH,1,visible,,,1,1500.00,,,id:561,3,Size,6 INCH,,0
,variation,,Dark Roast Coffee - 8 INCH,1,visible,,,1,2000.00,,,id:561,4,Size,8 INCH,,0
,variation,,Dark Roast Coffee - 10 INCH,1,visible,,,1,3000.00,,,id:561,5,Size,10 INCH,,0
1785,variable,CL-JD,Jack Daniels,1,visible,"A moist Jack Daniels infused chocolate cake, with Mexican buttercream frosting and Jack Daniels truffles.",,1,,Basic Cakes,,,0,Size,"6 INCH, 8 INCH, 10 INCH",1,0
,variation,,Jack Daniels - 6 INCH,1,visible,,,1,2000.00,,,id:1785,1,Size,6 INCH,,0
,variation,,Jack Daniels - 8 INCH,1,visible,,,1,3000.00,,,id:1785,2,Size,8 INCH,,0
,variation,,Jack Daniels - 10 INCH,1,visible,,,1,4500.00,,,id:1785,3,Size,10 INCH,,0
1482,variable,,Mini Cake Sampler,1,visible,"Four inch cakes of our best-selling flavors, Red Velvet, Carrot, Chocolate and Chocolate Chip",,1,,"Basic Cakes, Seasonal Occassions",mini-cake-sampler.webp,,0,Edition,"Standard, Seasonal / Mother's Day",1,0
,variation,,Mini Cake Sampler - Standard,1,visible,,,1,2000.00,,,id:1482,1,Edition,Standard,,0
,variation,,Mini Cake Sampler - Seasonal / Mother's Day,1,visible,,,1,2500.00,,,id:1482,2,Edition,Seasonal / Mother's Day,,0
1800,variable,,Oreo Red Velvet,1,visible,"Our Signature Red Velvet cake, studded with oreos in the cream cheese frosting.",,1,,Basic Cakes,,,0,Size,"10 INCH, 12 INCH, 6 INCH, 8 INCH",1,0
,variation,,Oreo Red Velvet - 10 INCH,1,visible,,,1,3500.00,,,id:1800,1,Size,10 INCH,,0
,variation,,Oreo Red Velvet - 12 INCH,1,visible,,,1,4500.00,,,id:1800,2,Size,12 INCH,,0
,variation,,Oreo Red Velvet - 6 INCH,1,visible,,,1,1500.00,,,id:1800,3,Size,6 INCH,,0
,variation,,Oreo Red Velvet - 8 INCH,1,visible,,,1,2500.00,,,id:1800,4,Size,8 INCH,,0
483,variable,CL-BC-RV,Signature Red Velvet Cake,1,visible,"Our best-seller! Ultra moist red velvet cake, cream cheese frosting, topped with white chocolate shavings.",,1,,Basic Cakes,"Red-Velvet-buttercream-Whole.webp, Red-Velvet-buttercream-Sliced.webp",,0,Size,"12 INCH, 14 INCH, 6 INCH, 8 INCH, 10 INCH",1,0
,variation,,Signature Red Velvet Cake - 12 INCH,1,visible,,,1,3700.00,,,id:483,1,Size,12 INCH,,0
,variation,,Signature Red Velvet Cake - 14 INCH,1,visible,,,1,4500.00,,,id:483,2,Size,14 INCH,,0
,variation,,Signature Red Velvet Cake - 6 INCH,1,visible,,,1,1500.00,,,id:483,3,Size,6 INCH,,0
,variation,,Signature Red Velvet Cake - 8 INCH,1,visible,,,1,2000.00,,,id:483,4,Size,8 INCH,,0
,variation,,Signature Red Velvet Cake - 10 INCH,1,visible,,,1,3000.00,,,id:483,5,Size,10 INCH,,0
555,variable,CL-UHC,Ube Halaya Cake,1,visible,"Moist yet fluffy ube cake, filled with swiss buttercream and ube halaya, frosted with ube swiss buttercream and ube cake crumbs.",,1,,Basic Cakes,Ube-Halaya-Cake-Whole.webp,,0,Size,"12 INCH, 6 INCH, 8 INCH, 10 INCH",1,0
,variation,,Ube Halaya Cake - 12 INCH,1,visible,,,1,3700.00,,,id:555,1,Size,12 INCH,,0
,variation,,Ube Halaya Cake - 6 INCH,1,visible,,,1,1300.00,,,id:555,2,Size,6 INCH,,0
,variation,,Ube Halaya Cake - 8 INCH,1,visible,,,1,1700.00,,,id:555,3,Size,8 INCH,,0
,variation,,Ube Halaya Cake - 10 INCH,1,visible,,,1,2800.00,,,id:555,4,Size,10 INCH,,0
1820,variable,,Bento Cakes,1,visible,Mini Version of basic cakes with individual package.,Red Velvet Carrot Cake Ube Halayaa Lemon Butter,1,,Bento Cakes,"E2B79EE4-DC35-48E0-9056-4558146215CA.webp, C0DEBEA8-CA5D-44D4-854F-B17FEEA98B24.webp, 5182CAAA-45F7-456F-A820-049590CB118F.webp, 400DB527-FA35-4A0B-9717-016692AE865C.webp, 20FE5487-4F4E-4AB3-8458-69066C6E1C07.webp",,0,Flavor,"Lemon Butter, Chocolate Yema, Red Velvet, Dark Roast Coffee, Chiffon + Jam + Buttercream, Carrot, Chocolate Chip, Ube Halaya, Matcha, Butter Bacon, Chocolate Bacon",1,0
,variation,,Bento Cakes - Lemon Butter,1,visible,,,1,500.00,,,id:1820,1,Flavor,Lemon Butter,,0
,variation,,Bento Cakes - Chocolate Yema,1,visible,,,1,500.00,,,id:1820,2,Flavor,Chocolate Yema,,0
,variation,,Bento Cakes - Red Velvet,1,visible,,,1,600.00,,,id:1820,3,Flavor,Red Velvet,,0
,variation,,Bento Cakes - Dark Roast Coffee,1,visible,,,1,600.00,,,id:1820,4,Flavor,Dark Roast Coffee,,0
,variation,,Bento Cakes - Chiffon + Jam + Buttercream,1,visible,,,1,600.00,,,id:1820,5,Flavor,Chiffon + Jam + Buttercream,,0
,variation,,Bento Cakes - Carrot,1,visible,,,1,650.00,,,id:1820,6,Flavor,Carrot,,0
,variation,,Bento Cakes - Chocolate Chip,1,visible,,,1,700.00,,,id:1820,7,Flavor,Chocolate Chip,,0
,variation,,Bento Cakes - Ube Halaya,1,visible,,,1,700.00,,,id:1820,8,Flavor,Ube Halaya,,0
,variation,,Bento Cakes - Matcha,1,visible,,,1,600.00,,,id:1820,9,Flavor,Matcha,,0
,variation,,Bento Cakes - Butter Bacon,1,visible,,,1,600.00,,,id:1820,10,Flavor,Butter Bacon,,0
